Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 3,LO.PISA.MAT.3.FE,,,,13.99232847,,,14.33459082,,,13.38940037,,,15.6674279,,,13.95267466
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 4,LO.PISA.MAT.4.FE,,,,5.124663569,,,5.321555639,,,4.371404232,,,6.355125577,,,4.685007064
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 5,LO.PISA.MAT.5.FE,,,,1.449643786,,,1.027148236,,,0.93443434,,,2.211082983,,,1.168452463
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 6,LO.PISA.MAT.6.FE,,,,0.169594654,,,0.106003046,,,0.247814031,,,0.565733142,,,0.18656195
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0.FE,,,,,,,,,,0.440092849,,,0.150070342,,,1.29580337
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A.FE,21.55195767,,,26.02494979,,,25.4285335,,,27.64731258,,,17.6613238,,,30.86671343
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B.FE,,,,,,,,,,5.166498399,,,2.865679941,,,10.82456928
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2.FE,40.42228594,,,39.10097677,,,39.2666665,,,41.35159638,,,37.97810803,,,34.81807821
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3.FE,25.80213505,,,21.75498099,,,22.04812945,,,20.66300325,,,30.60954683,,,17.50574003
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4.FE,5.898125565,,,5.262861251,,,5.80583791,,,4.308653067,,,9.520712999,,,4.308303032
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5.FE,0.603383017,,,0.675659686,,,0,,,0.417888472,,,1.130259618,,,0.380562563
Thailand,THA,PISA: Female 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6.FE,0,,,0,,,0,,,0,,,0.084298433,,,0.000230091
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Below Level 1B,LO.PISA.SCI.0.FE,,,,,,,1,,,1,,,0,,,0.914475009
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 1A,LO.PISA.SCI.1A.FE,,,,29.92630731,,,32.58366834,,,29.37394006,,,23.96416718,,,33.19192124
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 1B,LO.PISA.SCI.1B.FE,,,,,,,9,,,9,,,5,,,10.45630092
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 2,LO.PISA.SCI.2.FE,,,,34.52359489,,,36.3306677,,,36.74297614,,,39.00536162,,,33.45911097
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 3,LO.PISA.SCI.3.FE,,,,18.51240597,,,17.34512724,,,18.2965777,,,24.15880982,,,16.86792938
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 4,LO.PISA.SCI.4.FE,,,,5.511207272,,,4.111902072,,,4.698226033,,,6.990268724,,,4.616581401
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 5,LO.PISA.SCI.5.FE,,,,0.984747477,,,0.355810097,,,0.676467344,,,0.969750692,,,0.487898814
Thailand,THA,PISA: Female 15-year-olds by science proficiency level (%). Level 6,LO.PISA.SCI.6.FE,,,,0,,,0.001559648,,,0.038235337,,,0.061597801,,,0.005782261
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Below Level 1,LO.PISA.MAT.0.MA,,,,25.32314934,,,25.65574731,,,22.66732795,,,21.92009088,,,25.84190664
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1.MA,,,,29.65937353,,,29.59667952,,,28.68222724,,,32.14257924,,,28.83628943
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2.MA,,,,24.53633433,,,24.32680344,,,26.86146791,,,25.40237686,,,25.09451043
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 3,LO.PISA.MAT.3.MA,,,,13.24288049,,,13.5419241,,,14.8577174,,,13.03712243,,,13.71100922
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 4,LO.PISA.MAT.4.MA,,,,5.585670715,,,5.26929941,,,5.57281026,,,5.194237417,,,4.98473654
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 5,LO.PISA.MAT.5.MA,,,,1.453539592,,,1.310689796,,,1.038054299,,,1.799906415,,,1.325895911
Thailand,THA,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 6,LO.PISA.MAT.6.MA,,,,0.199051993,,,0.298856424,,,0.320394941,,,0.503686768,,,0.205651824
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0.MA,,,,,,,,,,2.254105074,,,2.45768685,,,4.824601815
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A.MA,33.90752427,,,35.86718254,,,33.91401959,,,37.12061871,,,32.28210408,,,33.71490564
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B.MA,,,,,,,,,,16.11083324,,,13.86015545,,,20.57845624
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2.MA,31.62892778,,,28.53400337,,,25.56207884,,,30.850824,,,33.49278485,,,26.22145004
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3.MA,13.70673529,,,11.2916247,,,11.23553182,,,11.55031974,,,14.43620933,,,11.63887105
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4.MA,3.218114809,,,2.772614103,,,2.100473967,,,1.995400548,,,3.151754569,,,2.790726873
Thailand,THA,PISA: Male 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5.MA,0,,,0,,,0,,,0.117898689,,,0.307513506,,,0.224926029
